Motor,Carga,Horas Oleo,TBN,OXI,V100,ST,NIT,SUL,CU,FE
TE8037,7,88,9.9,10,13.7,0,6,16,35,7
TE8037,7,159,9.6,10,13.1,0,7,17,39,9
TE8037,7,241,9.2,11,12.5,1,7,20,30,10
TE8037,7,362,8.8,13,12.5,2,8,22,26,11
TE8037,7,445,8.6,14,12.1,7,8,24,28,14
TE8037,7,524,8.3,15,11.8,9,9,25,31,16
TE8038,6,85,10.1,9,13,0,5,19,1,5
TE8038,6,147,9.8,10,13.9,2,6,20,1,6
TE8038,6,226,9.3,11,12.3,4,6,21,2,7
TE8038,6,273,9,12,12.2,5,7,22,2,9
TE8038,6,288,8.8,12,11.8,5,7,22,2,9
TE8038,6,427,8.4,14,11.8,7,8,22,3,12
TE8038,6,514,7.9,16,11.6,9,9,23,3,15
TE8039,6,44,1,9,13,0,5,19,1,5
TE8039,6,79.5,2,10,13.9,2,6,20,1,6
TE8039,6,120.5,3,11,12.3,4,6,21,2,7
TE8039,6,181,4,12,12.2,5,7,22,2,9
TE8039,6,222.5,6,12,11.8,5,7,22,2,9
TE8039,6,262,9,14,11.8,7,8,22,3,12
TE8039,6,300,12,16,11.6,9,9,23,3,15
TE8039,6,325,16,17,11.4,10,9.5,23,3.5,16.5
TE8039,6,361,21,18.4,11.22,11.4,10.2,23.3,3.9,18.6
TE8039,6,400.5,25,19.8,11.04,12.8,10.9,23.6,4.3,20.7
TE8039,6,422.5,30,21.2,10.86,14.2,11.6,23.9,4.7,22.8
TE8039,6,460,35,22.6,10.68,15.6,12.3,24.2,5.1,24.9
TE8039,6,511,33,24,10.5,17,13,24.5,5.5,27
TE8039,6,554.1,37,25.4,10.32,18.4,13.7,24.8,5.9,29.1
TE8039,6,597.2,40,26.8,10.14,19.8,14.4,25.1,6.3,31.2
TE8039,6,640.3,42,28.2,9.96,21.2,15.1,25.4,6.7,33.3
TE8039,6,683.4,43,29.6,9.78,22.6,15.8,25.7,7.1,35.4
