Motor,Carga,Horas Oleo,TBN,OXI,V100,ST,NIT,SUL,CU,FE
TE8037,6,61,8.6,11,13,2,6,20,46,8
TE8037,6,96,8.6,11,13,3,7,20,48,9
TE8037,6,201,9.7,12,12,6,8,22,55,6
TE8037,6,239,9.2,12,12,6,7,21,59,8
TE8037,6,345,9.5,11,13,2,6,18,0,2
TE8037,6,408,7.6,13,12,9,8,21,119,16
TE8037,6,468,7.6,14,12,10,8,22,139,18
TE8037,7,88,9.9,10,13.7,0,6,16,35,7
TE8037,7,159,9.6,10,13.1,0,7,17,39,9
TE8037,7,241,9.2,11,12.5,1,7,20,30,10
TE8037,7,362,8.8,13,12.5,2,8,22,26,11
TE8037,7,445,8.6,14,12.1,7,8,24,28,14
TE8037,7,524,8.3,15,11.8,9,9,25,31,16
TE8037,8,61,9.3,9,13.3,0,6,20,4,5
TE8037,8,203,9,11,12.5,0,7,19,4,5
TE8037,8,284,8.6,12,12.2,2,7,20,4,7
TE8037,8,417,9.2,11,13,0,7,24,1,5
TE8037,9,129,9,11,13.4,0,8,25,4,7
TE8037,9,187,8.9,12,13.1,1,9,26,4,9
TE8037,9,270,8.5,13,12.8,3,9,27,5,9
TE8037,9,364,8.4,15,12.5,6,10,22,0,4
TE8037,9,428,8.2,15,12.7,7,10,23,1,6
TE8037,10,255,8,13,13,3,10,21,1,5
TE8037,10,269,8.8,14,12.4,4,10,22,2,6
TE8037,10,311,8.5,14,12.1,5,11,23,2,7
TE8037,10,387,8.3,16,13.2,6,11,24,2,10
TE8037,10,562,8.3,17,13,10,12,32,0,10
TE8037,11,70,8.9,11,13,1,9,20,1,4
TE8037,11,131,8.7,12,13,3,9,21,1,4
TE8037,11,216,9.4,13,13,3,10,28,0,4
TE8037,11,404,8.7,11,13,3,9,19,1,4
TE8037,11,485,8.4,12,13,5,9,20,1,4
TE8038,4,119,10.3,11,13,4,7,18,4,7
TE8038,4,180,10.1,12,13,5,7,19,4,8
TE8038,4,300,9.4,14,12,9,8,20,5,11
TE8038,4,335,9.2,14,12,9,8,21,6,13
TE8038,4,438,8.6,16,12,13,9,22,7,17
TE8038,4,445,7.9,12,12,9,7,18,2,12
TE8038,5,76,9.6,13,12,8,8,20,66,12
TE8038,5,138,9.5,11,13.1,4,6,18,3,7
TE8038,5,241,9,12,12.3,6,7,20,3,8
TE8038,5,281,9.2,12,12.4,3,7,18,5,10
TE8038,5,362,8.8,13,12,4,7,19,5,13
TE8038,5,442,8.5,14,12,6,8,19,5,16
TE8038,5,511,7.9,15,11.9,8,9,23,6,18
TE8038,6,85,10.1,9,13,0,5,19,1,5
TE8038,6,147,9.8,10,13.9,2,6,20,1,6
TE8038,6,226,9.3,11,12.3,4,6,21,2,7
TE8038,6,273,9,12,12.2,5,7,22,2,9
TE8038,6,288,8.8,12,11.8,5,7,22,2,9
TE8038,6,427,8.4,14,11.8,7,8,22,3,12
TE8038,6,514,7.9,16,11.6,9,9,23,3,15
TE8038,7,141,9.8,12,12.9,2,7,24,2,6
TE8038,7,208,9.4,13,12.2,4,8,25,2,8
TE8038,7,345,8.7,15,12.1,7,9,27,5,13
TE8038,7,430,8.3,16,12.2,9,9,28,6,16
TE8038,7,488,8,17,12.1,11,10,29,6,18
TE8038,7,555,8.2,16,12.3,10,10,29,6,19
TE8038,8,137,10.2,13,12.9,3,7,19,0,0
TE8038,8,201,10,14,12.8,4,8,20,0,1
TE8038,8,280,9.6,13,11.8,5,8,27,3,8
TE8038,8,452,9.4,15,12.7,8,10,28,0,46
TE8038,9,369,8.8,12,12.3,10,7,19,2,6
TE8038,9,395,8.6,12,11.9,10,7,19,1,7
TE8038,9,476,8.2,12,12.1,11,8,20,2,9
TE8038,9,542,7.9,13,11.9,13,8,20,1,10
